sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
142,19169,3.3819,517,932,IISPH,30,10000,3,0.02,0.0018138023,0.0004010291,Zero,30,1,1,1
143,19219,26.1934,518,932,IISPH,30,10000,57,0.02,0.001983126,0.0003541603,Zero,30,1,1,1
144,19269,3.2551,519,932,IISPH,30,10000,3,0.02,0.0017268064,0.00039143465,Zero,30,1,1,1
145,19319,2.9346,520,932,IISPH,30,10000,3,0.02,0.0016818064,0.00041131652,Zero,30,1,1,1
146,19369,3.4679,521,932,IISPH,30,10000,3,0.02,0.0019276295,0.00036352477,Zero,30,1,1,1
147,19419,3.275,522,932,IISPH,30,10000,3,0.02,0.0013748092,0.0003937207,Zero,30,1,1,1
148,19469,18.0919,523,932,IISPH,30,10000,37,0.02,0.0019799618,0.00032149948,Zero,30,1,1,1
149,19519,2.9299,524,932,IISPH,30,10000,3,0.02,0.0015776015,0.00035256988,Zero,30,1,1,1
150,19569,24.422,525,932,IISPH,30,10000,53,0.02,0.001982032,0.0002802156,Zero,30,1,1,1
151,19619,3.4823,526,932,IISPH,30,10000,3,0.02,0.0017539768,0.00031556736,Zero,30,1,1,1
152,19669,3.2943,527,932,IISPH,30,10000,3,0.02,0.0016024957,0.00035489164,Zero,30,1,1,1
153,19719,3.29,528,932,IISPH,30,10000,3,0.02,0.0019577579,0.00026350238,Zero,30,1,1,1
154,19769,3.0111,529,932,IISPH,30,10000,3,0.02,0.0014415843,0.0003074617,Zero,30,1,1,1
155,19819,16.2448,530,932,IISPH,30,10000,32,0.02,0.0019822533,0.00020882179,Zero,30,1,1,1
156,19869,3.1673,531,932,IISPH,30,10000,3,0.02,0.0014425311,0.00024298948,Zero,30,1,1,1
157,19919,13.4111,532,932,IISPH,30,10000,27,0.02,0.0019793413,0.00023850075,Zero,30,1,1,1
158,19969,3.4021,533,932,IISPH,30,10000,3,0.02,0.001535145,0.00019499919,Zero,30,1,1,1
159,20019,32.0385,534,932,IISPH,30,10000,71,0.02,0.001983465,0.0002588531,Zero,30,1,1,1
160,20069,2.902,535,932,IISPH,30,10000,3,0.02,0.0017422969,0.0001396745,Zero,30,1,1,1
161,20118,3.2805,536,932,IISPH,30,10000,3,0.02,0.0016296959,0.0001939932,Zero,30,1,1,1
162,20168,6.8695,537,932,IISPH,30,10000,11,0.02,0.0019795483,0.00017488697,Zero,30,1,1,1
163,20218,3.1879,538,932,IISPH,30,10000,3,0.02,0.0013058034,0.00017564939,Zero,30,1,1,1
164,20268,3.6581,539,932,IISPH,30,10000,3,0.02,0.0019796654,0.00020666736,Zero,30,1,1,1
165,20318,3.1588,540,932,IISPH,30,10000,3,0.02,0.0015600091,0.00014769027,Zero,30,1,1,1
166,20368,14.5693,541,932,IISPH,30,10000,30,0.02,0.001983555,0.00025716703,Zero,30,1,1,1
167,20415,4.6484,542,932,IISPH,30,10000,4,0.03,0.0029616947,0.00024077682,Zero,30,1,1,1
168,20448,9.8858,543,932,IISPH,30,10000,19,0.03,0.0029633357,0.0001714073,Zero,30,1,1,1
169,20481,11.3404,544,932,IISPH,30,10000,21,0.03,0.002962759,0.0001660432,Zero,30,1,1,1
170,20515,12.9825,545,932,IISPH,30,10000,22,0.03,0.0029630996,0.00015959454,Zero,30,1,1,1
171,20548,11.4403,546,932,IISPH,30,10000,21,0.03,0.0029636447,0.0001541084,Zero,30,1,1,1
172,20581,11.9944,547,932,IISPH,30,10000,23,0.03,0.0029641641,0.0001472893,Zero,30,1,1,1
173,20614,12.0256,548,932,IISPH,30,10000,22,0.03,0.0029648861,0.00014191803,Zero,30,1,1,1
174,20648,12.5654,549,932,IISPH,30,10000,23,0.03,0.0029636316,0.00013541616,Zero,30,1,1,1
175,20681,11.1423,550,932,IISPH,30,10000,23,0.03,0.0029645916,0.00012974942,Zero,30,1,1,1
176,20714,11.7548,551,932,IISPH,30,10000,22,0.03,0.002964488,0.00012467742,Zero,30,1,1,1
177,20748,11.8206,552,932,IISPH,30,10000,22,0.03,0.002963248,0.00012243452,Zero,30,1,1,1
178,20781,13.1567,553,932,IISPH,30,10000,23,0.03,0.0029645322,0.00011888595,Zero,30,1,1,1
179,20814,11.2151,554,932,IISPH,30,10000,21,0.03,0.0029628905,0.000116779425,Zero,30,1,1,1
180,20848,11.9101,555,932,IISPH,30,10000,23,0.03,0.0029632607,0.00011435046,Zero,30,1,1,1
181,20881,11.8743,556,932,IISPH,30,10000,22,0.03,0.0029632165,0.00011275068,Zero,30,1,1,1
182,20914,11.0457,557,932,IISPH,30,10000,21,0.03,0.0029631718,0.000109011075,Zero,30,1,1,1
183,20947,12.7113,558,932,IISPH,30,10000,24,0.03,0.0029656254,0.00010461798,Zero,30,1,1,1
184,20981,11.4693,559,932,IISPH,30,10000,22,0.03,0.002962478,0.00010293937,Zero,30,1,1,1
185,21014,11.2318,560,932,IISPH,30,10000,22,0.03,0.0029638517,0.000103066006,Zero,30,1,1,1
186,21047,11.8444,561,932,IISPH,30,10000,23,0.03,0.0029641637,0.00010244665,Zero,30,1,1,1
187,21081,11.8106,562,932,IISPH,30,10000,22,0.03,0.002963336,0.00010102494,Zero,30,1,1,1
188,21114,11.3273,563,932,IISPH,30,10000,21,0.03,0.0029622118,9.889876E-05,Zero,30,1,1,1
189,21147,12.1127,564,932,IISPH,30,10000,23,0.03,0.0029643541,9.5753196E-05,Zero,30,1,1,1
190,21181,11.7725,565,932,IISPH,30,10000,22,0.03,0.0029634694,9.311056E-05,Zero,30,1,1,1
