sample,simulationStep,simulationStepsTime,neighborSearchTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
164,18269,6.674,1.5178,465,6838,IISPH,5,2000,18,0.015,0.001493793,0.00012241676,Zero,5,1,1,1
165,18335,6.2036,1.4289,466,6838,IISPH,5,2000,16,0.015,0.0014931738,0.0001168265,Zero,5,1,1,1
166,18402,6.1906,1.4588,467,6838,IISPH,5,2000,18,0.015,0.0014939478,0.00011382093,Zero,5,1,1,1
167,18468,6.3148,1.4136,468,6838,IISPH,5,2000,17,0.015,0.0014931738,0.0001244572,Zero,5,1,1,1
168,18535,6.5233,1.4656,469,6838,IISPH,5,2000,19,0.015,0.0014945929,0.00013955426,Zero,5,1,1,1
169,18602,6.2134,1.4215,470,6838,IISPH,5,2000,17,0.015,0.001493509,0.00015445397,Zero,5,1,1,1
170,18668,5.8901,1.6721,471,6838,IISPH,5,2000,14,0.015,0.0014921803,0.00016381954,Zero,5,1,1,1
171,18735,5.1125,1.4333,472,6838,IISPH,5,2000,14,0.015,0.001493135,0.00016364208,Zero,5,1,1,1
172,18801,6.0875,1.4106,473,6838,IISPH,5,2000,17,0.015,0.0014935221,0.00016904366,Zero,5,1,1,1
173,18868,5.3848,1.4156,474,6838,IISPH,5,2000,15,0.015,0.0014930833,0.00017764303,Zero,5,1,1,1
174,18935,6.2103,1.4946,475,6838,IISPH,5,2000,18,0.015,0.0014937671,0.00018447124,Zero,5,1,1,1
175,19001,5.8207,1.4464,476,6838,IISPH,5,2000,17,0.015,0.0014933414,0.00018964075,Zero,5,1,1,1
176,19068,6.4792,1.5731,477,6838,IISPH,5,2000,14,0.015,0.0014930059,0.00019203834,Zero,5,1,1,1
177,19134,6.3599,1.4421,478,6838,IISPH,5,2000,17,0.015,0.001493535,0.00018951311,Zero,5,1,1,1
178,19201,5.7577,1.4574,479,6838,IISPH,5,2000,16,0.015,0.0014940896,0.000180708,Zero,5,1,1,1
179,19268,6.5027,1.4411,480,6838,IISPH,5,2000,19,0.015,0.0014934188,0.00016648223,Zero,5,1,1,1
180,19334,5.8575,1.4431,481,6838,IISPH,5,2000,17,0.015,0.0014928511,0.00014825987,Zero,5,1,1,1
181,19401,6.2941,1.418,482,6838,IISPH,5,2000,18,0.015,0.0014939478,0.00012580608,Zero,5,1,1,1
182,19467,4.998,1.5433,483,6838,IISPH,5,2000,12,0.015,0.0014930833,0.00012375848,Zero,5,1,1,1
183,19534,5.4017,1.4065,484,6838,IISPH,5,2000,15,0.015,0.0014933028,0.000119899836,Zero,5,1,1,1
184,19601,6.6137,2.1438,485,6838,IISPH,5,2000,16,0.015,0.0014927867,0.00011627645,Zero,5,1,1,1
185,19667,5.4699,1.4183,486,6838,IISPH,5,2000,14,0.015,0.0014929029,0.0001105785,Zero,5,1,1,1
186,19734,6.5641,2.3409,487,6838,IISPH,5,2000,16,0.015,0.001493509,0.00010314403,Zero,5,1,1,1
187,19800,6.2497,1.498,488,6838,IISPH,5,2000,19,0.015,0.0014942575,9.525804E-05,Zero,5,1,1,1
