sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
113,22705,2.6788,227,1650,SESPH,40,45000,0,0.01,0.104260705,0.0036401888,Mirroring,40,1,1,1
114,22805,3.0199,228,1650,SESPH,40,45000,0,0.01,0.07581319,0.003687833,Mirroring,40,1,1,1
115,22905,2.5439,229,1650,SESPH,40,45000,0,0.01,0.07694464,0.0047939443,Mirroring,40,1,1,1
116,23005,2.4828,230,1650,SESPH,40,45000,0,0.01,0.07872456,0.0037222116,Mirroring,40,1,1,1
117,23105,3.2131,231,1650,SESPH,40,45000,0,0.01,0.087392785,0.004648258,Mirroring,40,1,1,1
118,23205,2.8565,232,1650,SESPH,40,45000,0,0.01,0.10371602,0.003878062,Mirroring,40,1,1,1
119,23305,2.5815,233,1650,SESPH,40,45000,0,0.01,0.09979078,0.0037292873,Mirroring,40,1,1,1
120,23405,2.4991,234,1650,SESPH,40,45000,0,0.01,0.12404628,0.007050078,Mirroring,40,1,1,1
121,23505,2.3872,235,1650,SESPH,40,45000,0,0.01,0.12032177,0.0070261797,Mirroring,40,1,1,1
122,23606,2.6327,236,1650,SESPH,40,45000,0,0.01,0.12543903,0.0056518135,Mirroring,40,1,1,1
123,23706,2.5087,237,1650,SESPH,40,45000,0,0.01,0.09904468,0.005343059,Mirroring,40,1,1,1
124,23806,2.3089,238,1650,SESPH,40,45000,0,0.01,0.06832543,0.004177829,Mirroring,40,1,1,1
125,23906,2.8465,239,1650,SESPH,40,45000,0,0.01,0.0662556,0.0050993254,Mirroring,40,1,1,1
126,24006,2.5936,240,1650,SESPH,40,45000,0,0.01,0.069189854,0.0036326663,Mirroring,40,1,1,1
127,24106,2.5786,241,1650,SESPH,40,45000,0,0.01,0.063209265,0.004125774,Mirroring,40,1,1,1
128,24206,2.8634,242,1650,SESPH,40,45000,0,0.01,0.070164554,0.0031331324,Mirroring,40,1,1,1
129,24306,2.6619,243,1650,SESPH,40,45000,0,0.01,0.08526962,0.0034816782,Mirroring,40,1,1,1
130,24406,2.5206,244,1650,SESPH,40,45000,0,0.01,0.08774945,0.0027411685,Mirroring,40,1,1,1
131,24506,3.0965,245,1650,SESPH,40,45000,0,0.01,0.11182834,0.0028883594,Mirroring,40,1,1,1
132,24606,2.8367,246,1650,SESPH,40,45000,0,0.01,0.12931702,0.0047949203,Mirroring,40,1,1,1
133,24706,2.8596,247,1650,SESPH,40,45000,0,0.01,0.12489146,0.0030402194,Mirroring,40,1,1,1
134,24806,2.5721,248,1650,SESPH,40,45000,0,0.01,0.13393499,0.0054260097,Mirroring,40,1,1,1
135,24906,3.0893,249,1650,SESPH,40,45000,0,0.01,0.12614517,0.005115991,Mirroring,40,1,1,1
136,25006,2.5237,250,1650,SESPH,40,45000,0,0.01,0.1166398,0.004587816,Mirroring,40,1,1,1
137,25106,2.5927,251,1650,SESPH,40,45000,0,0.01,0.09245451,0.005390493,Mirroring,40,1,1,1
138,25206,2.3984,252,1650,SESPH,40,45000,0,0.01,0.064345546,0.002658068,Mirroring,40,1,1,1
139,25306,2.6021,253,1650,SESPH,40,45000,0,0.01,0.0664928,0.0040943325,Mirroring,40,1,1,1
140,25407,2.5452,254,1650,SESPH,40,45000,0,0.01,0.07027809,0.0040202052,Mirroring,40,1,1,1
141,25507,2.7507,255,1650,SESPH,40,45000,0,0.01,0.07158051,0.003599556,Mirroring,40,1,1,1
142,25607,2.8192,256,1650,SESPH,40,45000,0,0.01,0.08793535,0.004228982,Mirroring,40,1,1,1
143,25707,2.3571,257,1650,SESPH,40,45000,0,0.01,0.10191442,0.003817471,Mirroring,40,1,1,1
144,25806,2.9696,258,1650,SESPH,40,45000,0,0.01,0.09820037,0.0036321501,Mirroring,40,1,1,1
145,25906,2.5037,259,1650,SESPH,40,45000,0,0.01,0.110659234,0.006291261,Mirroring,40,1,1,1
146,26006,2.6511,260,1650,SESPH,40,45000,0,0.01,0.10702908,0.0040286286,Mirroring,40,1,1,1
147,26106,2.5735,261,1650,SESPH,40,45000,0,0.01,0.11810107,0.0041817054,Mirroring,40,1,1,1
148,26206,3.9273,262,1650,SESPH,40,45000,0,0.01,0.107617065,0.0032045548,Mirroring,40,1,1,1
149,26306,2.5533,263,1650,SESPH,40,45000,0,0.01,0.096723706,0.005335152,Mirroring,40,1,1,1
150,26406,2.7729,264,1650,SESPH,40,45000,0,0.01,0.09253888,0.0046655596,Mirroring,40,1,1,1
151,26506,2.464,265,1650,SESPH,40,45000,0,0.01,0.08891798,0.0030070953,Mirroring,40,1,1,1
152,26606,2.6538,266,1650,SESPH,40,45000,0,0.01,0.07983991,0.0027753972,Mirroring,40,1,1,1
153,26706,2.5508,267,1650,SESPH,40,45000,0,0.01,0.07464283,0.0045566694,Mirroring,40,1,1,1
154,26805,2.6484,268,1650,SESPH,40,40000,0,0.01,0.060515583,0.004207034,Mirroring,40,1,1,1
155,26905,2.6378,269,1650,SESPH,40,40000,0,0.01,0.08233462,0.0023850575,Mirroring,40,1,1,1
156,27005,2.921,270,1650,SESPH,40,40000,0,0.01,0.096579865,0.002268121,Mirroring,40,1,1,1
157,27105,3.2683,271,1650,SESPH,40,40000,0,0.01,0.1223924,0.0027351857,Mirroring,40,1,1,1
158,27205,2.5407,272,1650,SESPH,40,40000,0,0.01,0.14656508,0.0040380047,Mirroring,40,1,1,1
159,27305,2.6602,273,1650,SESPH,40,40000,0,0.01,0.14047094,0.0043456536,Mirroring,40,1,1,1
160,27405,2.6147,274,1650,SESPH,40,40000,0,0.01,0.16676152,0.0031115448,Mirroring,40,1,1,1
161,27505,2.666,275,1650,SESPH,40,40000,0,0.01,0.11523114,0.0020245202,Mirroring,40,1,1,1
162,27605,2.4537,276,1650,SESPH,40,40000,0,0.01,0.13015485,0.0029411353,Mirroring,40,1,1,1
163,27705,3.1066,277,1650,SESPH,40,40000,0,0.01,0.10131878,0.0031877514,Mirroring,40,1,1,1
164,27804,2.7776,278,1650,SESPH,40,40000,0,0.01,0.11755292,0.0050184736,Mirroring,40,1,1,1
165,27904,2.5282,279,1650,SESPH,40,40000,0,0.01,0.09764237,0.005335678,Mirroring,40,1,1,1
166,28004,2.5681,280,1650,SESPH,40,40000,0,0.01,0.08306016,0.0039526774,Mirroring,40,1,1,1
167,28104,2.6438,281,1650,SESPH,40,40000,0,0.01,0.0809202,0.0050181285,Mirroring,40,1,1,1
168,28204,4.0608,282,1650,SESPH,40,40000,0,0.01,0.07335573,0.003937978,Mirroring,40,1,1,1
169,28304,2.7202,283,1650,SESPH,40,40000,0,0.01,0.093190126,0.0030278147,Mirroring,40,1,1,1
170,28404,2.5329,284,1650,SESPH,40,40000,0,0.01,0.099708274,0.004128654,Mirroring,40,1,1,1
171,28504,3.0607,285,1650,SESPH,40,40000,0,0.01,0.110578716,0.0041634827,Mirroring,40,1,1,1
172,28604,3.1528,286,1650,SESPH,40,40000,0,0.01,0.119684406,0.004196671,Mirroring,40,1,1,1
173,28704,2.7684,287,1650,SESPH,40,40000,0,0.01,0.1430277,0.005726163,Mirroring,40,1,1,1
174,28804,2.6047,288,1650,SESPH,40,40000,0,0.01,0.167879,0.0052851234,Mirroring,40,1,1,1
175,28903,2.5534,289,1650,SESPH,40,40000,0,0.01,0.13666867,0.0048019225,Mirroring,40,1,1,1
176,29003,2.5168,290,1650,SESPH,40,40000,0,0.01,0.15550418,0.00716172,Mirroring,40,1,1,1
177,29103,2.7867,291,1650,SESPH,40,40000,0,0.01,0.1284534,0.005993036,Mirroring,40,1,1,1
178,29203,2.3889,292,1650,SESPH,40,40000,0,0.01,0.11369247,0.0057150493,Mirroring,40,1,1,1
179,29303,2.8326,293,1650,SESPH,40,40000,0,0.01,0.08748375,0.0064030997,Mirroring,40,1,1,1
180,29403,3.0582,294,1650,SESPH,40,40000,0,0.01,0.09521365,0.005220923,Mirroring,40,1,1,1
181,29503,2.6114,295,1650,SESPH,40,40000,0,0.01,0.06477104,0.005218998,Mirroring,40,1,1,1
182,29603,2.5814,296,1650,SESPH,40,40000,0,0.01,0.051255133,0.0062554083,Mirroring,40,1,1,1
183,29703,2.627,297,1650,SESPH,40,40000,0,0.01,0.048484914,0.0038295356,Mirroring,40,1,1,1
184,29803,3.3057,298,1650,SESPH,40,40000,0,0.01,0.036109228,0.005006435,Mirroring,40,1,1,1
185,29902,2.6539,299,1650,SESPH,40,40000,0,0.01,0.044337265,0.0034133145,Mirroring,40,1,1,1
186,30002,4.054,300,1650,SESPH,40,40000,0,0.01,0.05666376,0.002169249,Mirroring,40,1,1,1
187,30102,2.8397,301,1650,SESPH,40,40000,0,0.01,0.083854645,0.0024364414,Mirroring,40,1,1,1
188,30202,2.5707,302,1650,SESPH,40,40000,0,0.01,0.15945166,0.004357468,Mirroring,40,1,1,1
189,30302,2.6278,303,1650,SESPH,40,40000,0,0.01,0.22060244,0.0031543218,Mirroring,40,1,1,1
190,30402,3.2766,304,1650,SESPH,40,40000,0,0.01,0.25359848,0.0024397173,Mirroring,40,1,1,1
191,30502,2.5406,305,1650,SESPH,40,40000,0,0.01,0.21973877,0.0027219467,Mirroring,40,1,1,1
